time,price,pchange,change,volume,amount,type
13:52:54,8.16,+0.74,0.0,5,4080,sell
13:52:51,8.16,+0.74,0.0,10,8160,sell
13:52:33,8.16,+0.74,-0.02,2,1632,sell
13:52:30,8.18,+0.99,0.0,150,122700,buy
13:52:15,8.18,+0.99,0.0,4,3272,buy
13:52:12,8.18,+0.99,0.02,33,26994,buy
13:52:03,8.16,+0.74,-0.01,1,816,sell
13:51:57,8.17,+0.86,0.0,13,10621,buy
13:51:54,8.17,+0.86,0.0,2,1634,sell
13:51:51,8.17,+0.86,-0.01,12,9804,norm
13:51:36,8.18,+0.99,0.0,122,99796,buy
13:51:15,8.18,+0.99,0.02,35,28630,buy
13:51:00,8.16,+0.74,-0.01,6,4896,buy
13:50:57,8.17,+0.86,0.0,4,3268,buy
13:50:54,8.17,+0.86,0.01,244,199348,buy
13:50:45,8.16,+0.74,-0.01,41,33456,sell
13:50:30,8.17,+0.86,0.0,50,40850,buy
13:50:12,8.17,+0.86,0.0,24,19608,buy
13:50:09,8.17,+0.86,0.0,36,29412,buy
13:50:00,8.17,+0.86,0.0,3,2451,buy
13:49:15,8.17,+0.86,0.0,4,3268,buy
13:49:06,8.17,+0.86,0.01,38,31046,buy
13:48:57,8.16,+0.74,-0.01,1,816,norm
13:48:30,8.17,+0.86,0.0,13,10621,buy
13:48:27,8.17,+0.86,0.02,25,20425,buy
13:48:15,8.15,+0.62,-0.02,5,4075,sell
13:48:12,8.17,+0.86,0.0,34,27778,buy
13:47:57,8.17,+0.86,0.02,42,34314,buy
13:47:51,8.15,+0.62,-0.01,10,8150,sell
13:47:27,8.16,+0.74,-0.01,1,816,sell
13:47:21,8.17,+0.86,0.02,183,149511,buy
13:46:54,8.15,+0.62,-0.02,1,815,sell
13:46:51,8.17,+0.86,0.01,39,31863,buy
13:46:48,8.16,+0.74,0.0,4,3264,buy
13:46:30,8.16,+0.74,0.0,1,816,buy
13:46:15,8.16,+0.74,0.0,4,3264,buy
13:45:30,8.16,+0.74,0.0,39,31824,norm
13:45:30,8.16,+0.74,0.0,39,31824,buy
13:45:21,8.16,+0.74,0.01,33,26928,buy
13:45:03,8.15,+0.62,0.0,1,815,sell
13:44:54,8.15,+0.62,-0.01,4,3260,sell
13:44:51,8.16,+0.74,0.0,150,122400,buy
13:44:39,8.16,+0.74,0.0,10,8160,buy
13:44:30,8.16,+0.74,0.0,33,26928,buy
13:44:27,8.16,+0.74,0.0,26,21216,sell
13:44:12,8.16,+0.74,0.0,5,4080,sell
13:43:39,8.16,+0.74,-0.01,10,8160,sell
13:43:33,8.17,+0.86,0.01,33,26961,buy
13:43:21,8.16,+0.74,0.0,4,3264,sell
13:43:00,8.16,+0.74,-0.01,5,4080,sell
13:42:27,8.17,+0.86,0.0,21,17157,sell
13:42:12,8.17,+0.86,-0.01,29,23693,sell
13:42:03,8.18,+0.99,0.0,15,12270,buy
13:41:42,8.18,+0.99,0.0,35,28630,buy
13:41:39,8.18,+0.99,0.0,30,24540,buy
