,time,stkVal,cash,dret,val,downLow,downHigh,downDay,downKMax
110,2011-06-10,436548.243906,795739.258782,-0.007462220238086542,1232287.502688,1230343.108289,1279452.592993,28.0,-4.521160516069203
111,2011-06-13,430245.131018,795739.258782,-0.005114969416025835,1225984.3898,1225984.3898,1279452.592993,28.0,-4.521160516069203
112,2011-06-14,446930.88772999996,795739.258782,0.013610089044218503,1242670.146512,1225984.3898,1279452.592993,28.0,-4.521160516069203
113,2011-06-15,435178.574275,795739.258782,-0.009457307305552411,1230917.833057,1225984.3898,1279452.592993,28.0,-4.521160516069203
114,2011-06-16,435547.312732,795739.258782,0.00029956382716817844,1231286.5715140002,1225984.3898,1279452.592993,28.0,-4.521160516069203
115,2011-06-17,428906.4264570001,795739.258782,-0.005393453017874019,1224645.6852390002,1224645.6852390002,1279452.592993,28.0,-4.521160516069203
116,2011-06-20,431660.52711200004,795739.258782,0.002248895895519559,1227399.785894,1224645.6852390002,1279452.592993,28.0,-4.521160516069203
117,2011-06-21,453320.420665,795739.258782,0.01764697517624508,1249059.679447,1224645.6852390002,1279452.592993,28.0,-4.521160516069203
118,2011-06-22,464978.08996499993,795739.258782,0.009333156367005154,1260717.348747,1224645.6852390002,1279452.592993,28.0,-4.521160516069203
119,2011-06-23,461522.150911,795739.258782,-0.0027412481135719873,1257261.409693,1224645.6852390002,1279452.592993,28.0,-4.521160516069203
120,2011-06-24,452336.28114900005,795739.258782,-0.00730625285336859,1248075.5399310002,1224645.6852390002,1279452.592993,29.0,-4.521160516069203
121,2011-06-27,456387.76042,795739.258782,0.003246181133574472,1252127.019202,1224645.6852390002,1279452.592993,32.0,-4.521160516069203
122,2011-06-28,466940.790222,795739.258782,0.008428082486971458,1262680.0490040001,1224645.6852390002,1279452.592993,33.0,-4.521160516069203
123,2011-06-29,476395.12983000005,795739.258782,0.007487518010170082,1272134.388612,1224645.6852390002,1279452.592993,34.0,-4.521160516069203
124,2011-06-30,483247.095667,795739.258782,0.005386196535788942,1278986.354449,1224645.6852390002,1279452.592993,35.0,-4.521160516069203
125,2011-07-01,497604.942138,795739.258782,0.011225957510067025,1293344.20092,1293344.20092,1293344.20092,35.0,-4.521160516069203
126,2011-07-05,504175.556568,795739.258782,0.00508032929310401,1299914.81535,1299914.81535,1299914.81535,35.0,-4.521160516069203
127,2011-07-06,506403.209293,795739.258782,0.001713691311688099,1302142.468075,1302142.468075,1302142.468075,35.0,-4.521160516069203
128,2011-07-07,507292.726844,795739.258782,0.0006831184550143735,1303031.985626,1303031.985626,1303031.985626,35.0,-4.521160516069203
129,2011-07-08,513716.35080899997,795739.258782,0.0049297515608674874,1309455.609591,1309455.609591,1309455.609591,35.0,-4.521160516069203
130,2011-07-11,505307.07437100005,795739.258782,-0.006421963735469044,1301046.333153,1301046.333153,1309455.609591,35.0,-4.521160516069203
131,2011-07-12,492210.02318799996,795739.258782,-0.010066552473392986,1287949.28197,1287949.28197,1309455.609591,35.0,-4.521160516069203
132,2011-07-13,493368.65274,795739.258782,0.0008995925291623324,1289107.911522,1287949.28197,1309455.609591,35.0,-4.521160516069203
133,2011-07-14,491266.588351,795739.258782,-0.0016306349299480712,1287005.847133,1287005.847133,1309455.609591,35.0,-4.521160516069203
134,2011-07-15,497517.293256,795739.258782,0.004856780502531857,1293256.552038,1287005.847133,1309455.609591,35.0,-4.521160516069203
135,2011-07-18,490901.936659,795739.258782,-0.005115270119122831,1286641.1954410002,1286641.1954410002,1309455.609591,35.0,-4.521160516069203
136,2011-07-19,515411.543326,795739.258782,0.019049294204045074,1311150.802108,1311150.802108,1311150.802108,35.0,-4.521160516069203
137,2011-07-20,517330.01532800007,795739.258782,0.0014631970623940915,1313069.27411,1313069.27411,1313069.27411,35.0,-4.521160516069203
138,2011-07-21,519190.443796,795739.258782,0.0014168547727696327,1314929.702578,1314929.702578,1314929.702578,35.0,-4.521160516069203
139,2011-07-22,535893.561553,795739.258782,0.01270266975052168,1331632.820335,1331632.820335,1331632.820335,35.0,-4.521160516069203
140,2011-07-25,532677.654159,795739.258782,-0.002415010613204222,1328416.912941,1328416.912941,1331632.820335,35.0,-4.521160516069203
141,2011-07-26,531860.36595,795739.258782,-0.000615234721146766,1327599.624732,1327599.624732,1331632.820335,35.0,-4.521160516069203
142,2011-07-27,508253.5449159999,795739.258782,-0.017781581580941983,1303992.803698,1303992.803698,1331632.820335,35.0,-4.521160516069203
143,2011-07-28,512280.109577,795739.258782,0.0030878733759733706,1308019.368359,1303992.803698,1331632.820335,35.0,-4.521160516069203
144,2011-07-29,529286.362494,795739.258782,0.013001529891973698,1325025.621276,1303992.803698,1331632.820335,35.0,-4.521160516069203
145,2011-08-01,534760.472774,795739.258782,0.004131324098268054,1330499.7315560002,1303992.803698,1331632.820335,35.0,-4.521160516069203
146,2011-08-02,513045.649251,795739.258782,-0.01632080263376299,1308784.908033,1303992.803698,1331632.820335,35.0,-4.521160516069203
147,2011-08-03,516019.93181899993,795739.258782,0.0022725526171218885,1311759.190601,1303992.803698,1331632.820335,35.0,-4.521160516069203
148,2011-08-04,464363.673202,795739.258782,-0.0393793761744739,1260102.931984,1260102.931984,1331632.820335,35.0,-5.371592473442139
149,2011-08-05,433430.459863,795739.258782,-0.02454816392681209,1229169.7186450001,1229169.7186450001,1331632.820335,35.0,-7.694546133537261
150,2011-08-08,383116.366409,795739.258782,-0.04093339812297428,1178855.625191,1178855.625191,1331632.820335,35.0,-11.472922025575015
151,2011-08-09,430215.144046,795739.258782,0.039952965087958876,1225954.402828,1178855.625191,1331632.820335,35.0,-11.472922025575015
152,2011-08-10,433213.374221,795739.258782,0.002445629436204079,1228952.6330030002,1178855.625191,1331632.820335,35.0,-11.472922025575015
153,2011-08-11,467847.65772300004,795739.258782,0.028181951502369552,1263586.916505,1178855.625191,1331632.820335,35.0,-11.472922025575015
154,2011-08-12,467590.851698,795739.258782,-0.0002032357423503285,1263330.11048,1178855.625191,1331632.820335,35.0,-11.472922025575015
155,2011-08-15,481319.060724,795739.258782,0.01086668394279306,1277058.319506,1178855.625191,1331632.820335,35.0,-11.472922025575015
156,2011-08-16,467072.61678100005,795739.258782,-0.011155672161088802,1262811.875563,1178855.625191,1331632.820335,35.0,-11.472922025575015
157,2011-08-17,469345.03875999997,795739.258782,0.0017994936719982503,1265084.297542,1178855.625191,1331632.820335,35.0,-11.472922025575015
158,2011-08-18,431376.28449,795739.258782,-0.03001282550401696,1227115.543272,1178855.625191,1331632.820335,35.0,-11.472922025575015
159,2011-08-19,426799.882584,795739.258782,-0.0037293977173472963,1222539.141366,1178855.625191,1331632.820335,35.0,-11.472922025575015
160,2011-08-22,428354.693388,795739.258782,0.0012717881590790041,1224093.95217,1178855.625191,1331632.820335,35.0,-11.472922025575015
161,2011-08-23,450612.683731,795739.258782,0.018183236918655157,1246351.942513,1178855.625191,1331632.820335,35.0,-11.472922025575015
162,2011-08-24,447652.60296299995,795739.258782,-0.002374995911693881,1243391.861745,1178855.625191,1331632.820335,35.0,-11.472922025575015
163,2011-08-25,441669.366315,795739.258782,-0.00481202815627477,1237408.625097,1178855.625191,1331632.820335,35.0,-11.472922025575015
164,2011-08-26,440541.33750200004,795739.258782,-0.000911605746170883,1236280.5962840002,1178855.625191,1331632.820335,36.0,-11.472922025575015
165,2011-08-29,460179.00634900003,795739.258782,0.01588447550339823,1255918.265131,1178855.625191,1331632.820335,39.0,-11.472922025575015
166,2011-08-30,469293.61507299996,795739.258782,0.007257326353995833,1265032.873855,1178855.625191,1331632.820335,40.0,-11.472922025575015
167,2011-08-31,466514.6219980001,795739.258782,-0.0021967753822326273,1262253.8807800002,1178855.625191,1331632.820335,41.0,-11.472922025575015
168,2011-09-01,454730.767888,795739.258782,-0.00933556576012937,1250470.02667,1178855.625191,1331632.820335,42.0,-11.472922025575015
169,2011-09-02,445304.815888,795739.258782,-0.007537927178551689,1241044.07467,1178855.625191,1331632.820335,43.0,-11.472922025575015
170,2011-09-06,443545.59594699997,795739.258782,-0.0014175322028492615,1239284.854729,1178855.625191,1331632.820335,47.0,-11.472922025575015
171,2011-09-07,462081.09670500003,795739.258782,0.014956610409035802,1257820.3554870002,1178855.625191,1331632.820335,48.0,-11.472922025575015
172,2011-09-08,468809.426806,795739.258782,0.005349197976999547,1264548.685588,1178855.625191,1331632.820335,49.0,-11.472922025575015
173,2011-09-09,454342.65397600003,795739.258782,-0.011440265602168601,1250081.9127580002,1178855.625191,1331632.820335,50.0,-11.472922025575015
174,2011-09-12,454638.007673,795739.258782,0.00023626747494347218,1250377.266455,1178855.625191,1331632.820335,53.0,-11.472922025575015
175,2011-09-13,478859.761146,795739.258782,0.019371556187735298,1274599.019928,1178855.625191,1331632.820335,54.0,-11.472922025575015
176,2011-09-14,493061.6472690001,795739.258782,0.011142238383175927,1288800.906051,1178855.625191,1331632.820335,55.0,-11.472922025575015
177,2011-09-15,510168.19493500004,795739.258782,0.01327322752931323,1305907.453717,1178855.625191,1331632.820335,56.0,-11.472922025575015
178,2011-09-16,510218.221135,795739.258782,3.8307615028595216e-05,1305957.479917,1178855.625191,1331632.820335,57.0,-11.472922025575015
179,2011-09-19,511773.00080100005,795739.258782,0.0011905285508214706,1307512.259583,1178855.625191,1331632.820335,60.0,-11.472922025575015
180,2011-09-20,519525.831578,795739.258782,0.005929451689785699,1315265.09036,1178855.625191,1331632.820335,61.0,-11.472922025575015
181,2011-09-21,512352.44521199993,795739.258782,-0.005453947206974638,1308091.7039939999,1178855.625191,1331632.820335,62.0,-11.472922025575015
182,2011-09-22,474627.02306000004,795739.258782,-0.02884004388745273,1270366.281842,1178855.625191,1331632.820335,63.0,-11.472922025575015
183,2011-09-23,476639.945905,795739.258782,0.001584521624803554,1272379.204687,1178855.625191,1331632.820335,64.0,-11.472922025575015
184,2011-09-26,506660.43573300005,795739.258782,0.023593980251653823,1302399.694515,1178855.625191,1331632.820335,67.0,-11.472922025575015
